Year,Temperature,Anomaly,Smoothed Signal
1895,68.7,-1.4,41.80000000000001
1896,69.9,-0.2,55.82000000000001
1897,70.4,0.3,69.9
1898,70.1,0.0,70.14
1899,70.4,0.3,69.76000000000002
1900,69.9,-0.2,69.66000000000001
1901,68.0,-2.1,69.44000000000001
1902,69.9,-0.2,69.22000000000001
1903,69.0,-1.1,69.24000000000001
1904,69.3,-0.8,69.56
1905,70.0,-0.1,69.68
1906,69.6,-0.5,69.94
1907,70.5,0.4,70.12
1908,70.3,0.2,69.76
1909,70.2,0.1,70.10000000000001
1910,68.2,-1.9,70.0
1911,71.3,1.2,69.94
1912,70.0,-0.1,69.72
1913,70.0,-0.1,69.9
1914,69.1,-1.0,69.56
1915,69.1,-1.0,69.32000000000001
1916,69.6,-0.5,69.28
1917,68.8,-1.3,69.54
1918,69.8,-0.3,69.5
1919,70.4,0.3,69.78
1920,68.9,-1.2,70.22000000000001
1921,71.0,0.9,70.28
1922,71.0,0.9,70.08000000000001
1923,70.1,0.0,70.38000000000001
1924,69.4,-0.7,70.04
1925,70.4,0.3,70.06
1926,69.3,-0.8,69.9
1927,71.1,1.0,70.16
1928,69.3,-0.8,70.14
1929,70.7,0.6,70.26
1930,70.3,0.2,70.24000000000001
1931,69.9,-0.2,70.56000000000002
1932,71.0,0.9,70.38
1933,70.9,0.8,70.28
1934,69.8,-0.3,70.32000000000001
1935,69.8,-0.3,70.08000000000001
1936,70.1,0.0,69.94
1937,69.8,-0.3,70.1
1938,70.2,0.1,69.78
1939,70.6,0.5,69.72
1940,68.2,-1.9,69.64
1941,69.8,-0.3,69.5
1942,69.4,-0.7,69.42
1943,69.5,-0.6,69.92
1944,70.2,0.1,70.2
1945,70.7,0.6,70.38
1946,71.2,1.1,70.80000000000001
1947,70.3,0.2,71.08000000000001
1948,71.6,1.5,71.0
1949,71.6,1.5,70.84
1950,70.3,0.2,70.84
1951,70.4,0.3,70.68
1952,70.3,0.2,70.38
1953,70.8,0.7,70.36
1954,70.1,0.0,70.25999999999999
1955,70.2,0.1,70.4
1956,69.9,-0.2,70.04
1957,71.0,0.9,70.14000000000001
1958,69.0,-1.1,70.16
1959,70.6,0.5,70.18
1960,70.3,0.2,69.94
1961,70.0,-0.1,69.98
1962,69.8,-0.3,69.86000000000001
1963,69.2,-0.9,69.84
1964,70.0,-0.1,69.64
1965,70.2,0.1,69.72000000000001
1966,69.0,-1.1,69.6
1967,70.2,0.1,69.4
1968,68.6,-1.5,69.24000000000001
1969,69.0,-1.1,69.52000000000001
1970,69.4,-0.7,69.66000000000001
1971,70.4,0.3,70.0
1972,70.9,0.8,70.38000000000001
1973,70.3,0.2,70.74000000000001
1974,70.9,0.8,70.46000000000001
1975,71.2,1.1,70.16
1976,69.0,-1.1,70.04
1977,69.4,-0.7,69.84
1978,69.7,-0.4,69.58000000000001
1979,69.9,-0.2,69.64000000000001
1980,69.9,-0.2,70.06
1981,69.3,-0.8,69.98
1982,71.5,1.4,70.0
1983,69.3,-0.8,70.17999999999999
1984,70.0,-0.1,70.61999999999999
1985,70.8,0.7,70.36
1986,71.5,1.4,70.44
1987,70.2,0.1,70.64
1988,69.7,-0.4,70.98
1989,71.0,0.9,71.04
1990,72.5,2.4,71.06
1991,71.8,1.7,71.18
1992,70.3,0.2,71.30000000000001
1993,70.3,0.2,70.96000000000001
1994,71.6,1.5,70.58
1995,70.8,0.7,70.74000000000001
1996,69.9,-0.2,71.18
1997,71.1,1.0,71.1
1998,72.5,2.4,71.06
1999,71.2,1.1,71.26
2000,70.6,0.5,71.3
2001,70.9,0.8,70.98
2002,71.3,1.2,70.9
2003,70.9,0.8,70.94
2004,70.8,0.7,71.04
2005,70.8,0.7,71.14
2006,71.4,1.3,71.12
2007,71.8,1.7,71.19999999999999
2008,70.8,0.7,70.88
2009,71.2,1.1,70.94000000000001
2010,69.2,-0.9,70.96000000000001
2011,71.7,1.6,71.14000000000001
2012,71.9,1.8,71.02000000000001
2013,71.7,1.6,71.86000000000001
2014,70.6,0.5,72.02000000000001
2015,73.4,3.3,72.18
2016,72.5,2.4,57.84
2017,72.7,2.6,43.72
